Date,JPM,MSFT,JNJ,UNH,CAT,AABA,HD,CVX,MMM,AMZN,CSCO,XOM,VZ,WMT,GS,AAPL,AXP,GOOGL,UTX,KO,MRK,TRV,IBM,INTC,PFE,GE,DIS,PG,BA,MCD,NKE
2006-03-13,-0.009408926,-0.002575423,-0.004549284,-0.00588655,-0.006298111,-0.018554688,0.004138267,0.011920044,-0.005655172,-0.003304875,-0.000479157,-0.000670241,-0.001745201,-0.001764057,-0.005863652,0.009687836,-0.011202938,-0.011368964,0.000862813,-0.002816901,0.012075906,0.003292568,0.004536538,-0.011027569,-0.001153846,0.000297089,0.010258224,-0.002093061,-0.004919559,-0.006081668,-0.005649718
2006-03-14,0.002908386,0.007026627,0.002366864,0.025969342,0.013239437,0.029568106,0.025054731,0.020833333,0.018703242,0.024139845,0.020653218,0.02115869,0.008504399,0.007745076,0.023985746,0.023404255,0.003533569,0.041602465,0.004478898,0.007532957,0,0.002576716,0.016807754,0.001520527,0.002702703,0.008358209,0.007027407,-0.001331336,0.008150722,0.002633889,0.002843602
2006-03-15,0.001457726,0.005882353,0.010989011,0.007732865,0.030231591,-0.02304,0.005711566,0,0.009825328,-0.001623816,0.011798018,0.005768914,0.005849664,-0.003956044,0.004720162,-0.021716649,0.001111935,-0.017885623,-0.002239063,0.000937207,0.004571429,0,0.008832426,0.006568974,-0.001539053,0.018946122,0.005244755,-0.010080978,0.00862069,0.016369483,0
2006-03-16,-0.002414293,-0.002560351,0.00116764,-0.012567638,-0.000400374,-0.02079948,0.006592889,0.021766059,0.005369848,-0.008360302,-0.011167985,0.010989011,0.00057971,0.017559263,-0.00945674,-0.037696335,0.002222222,-0.028255387,0.006916825,-0.00093633,0.008,-0.001858736,-0.006712214,-0.019950125,0.004627844,-0.007792208,-0.004512322,-0.006856187,0.006295082,0.01037464,0.012241055
2006-03-17,0.00120919,0.005484461,-0.000993377,-0.003690685,0.008600159,-0.008899143,-0.001629044,-0.013797861,-0.006772908,-0.024132321,0.008395522,-0.012135922,-0.007212926,0.00193133,0.014232715,-0.001081081,0.004410954,0.002889662,0.00204499,0.002811621,0.004792783,-0.031016791,-0.00059988,-0.010632911,0.007251908,0.001160429,-0.005210142,-0.004882977,0.008419689,-0.003972758,-0.003731343
2006-03-20,0.00338901,0.006859206,0.001324503,-0.000883704,-0.013397503,0.001974984,0.003043071,-0.004385965,0.002137894,0.00863029,0.002775208,-0.001810104,-0.003784571,0.015522007,0.014195268,-0.019313305,-0.016,0.017100502,0.000852515,0.001401214,0.003376477,-0.004986939,0.005655156,0.00874036,0.003031451,-0.001158078,-0.0013947,-0.003368137,-0.004076433,-0.006010303,0.006591337
2006-03-21,-0.001696147,-0.007868383,-0.003455084,-0.009340853,-0.020948617,-0.010190664,0.003734827,-0.000530035,-0.003590426,-0.011285439,-0.00649652,0.00098912,0.003505697,-0.00186722,-0.014576875,-0.038126362,-0.006856931,-0.028827492,0.000684932,-0.000934579,0.000836587,0.008756993,-0.000119303,-0.000505306,-0.007169811,-0.004926108,-0.016450823,-0.003040027,-0.006852792,0.006633978,-0.006548176
2006-03-22,0.020878854,0.002584934,0.011608624,0.029818182,0.034056988,0.013847676,0.014028525,0.001240695,0.017522739,0,0.008474576,0.019198664,0.032937685,0.019067797,0.023735671,-0.007882883,0.028028412,0.001411433,0.028705637,0.022966507,0.019127989,-0.002159827,0.013197361,0.016276704,0.001897533,0.02615156,0.01201748,0.013458262,0.014977405,-0.006565801,0.02262017
2006-03-23,-0.000237812,-0.008493353,0.00065822,0.002133333,-0.001832461,0.009835025,0.012947977,-0.000529474,0.001173709,-0.007786429,0.005636449,0.002290951,-0.005442567,0.007262918,0.003307535,-0.027180068,-0.008403361,-0.001342282,-0.008104001,-0.008419083,0.002770083,-0.001207438,-0.012228422,-0.014014014,-0.009090909,-0.0095791,-0.013620072,-0.010293621,-0.00903193,-0.007756392,-0.008302583
2006-03-24,0.002619671,0.011231748,-0.004451039,-0.007119972,-0.009965906,-0.015799257,-0.013723696,0.015343915,0.001956947,-0.00699888,0.000937207,0.000327065,0.007200461,-0.010472279,0.003230485,-0.004645761,0.001506591,-0.007642691,0.003045685,0.007082153,-0.001937984,0.002902758,0.004458368,-0.007594937,-0.008384146,-0.002350867,-0.001455075,0.00307377,0.008712364,0.00463231,-0.001858736
